,Driver,TeamId,GridPosition,Position,Time,Status,Race,Rain
530,TSU,rb,17.0,11.0,5322550000000.0,Finished,Miami Grand Prix,0.0
531,STR,aston_martin,18.0,12.0,5322995000000.0,Finished,Miami Grand Prix,0.0
532,BOT,sauber,10.0,13.0,5329878000000.0,Finished,Miami Grand Prix,0.0
533,ALB,williams,11.0,14.0,5331102000000.0,Finished,Miami Grand Prix,0.0
534,HUL,haas,12.0,15.0,5333191000000.0,Finished,Miami Grand Prix,0.0
535,ZHO,sauber,14.0,16.0,5336681000000.0,Finished,Miami Grand Prix,0.0
536,NOR,mclaren,16.0,17.0,5345958000000.0,Finished,Miami Grand Prix,0.0
537,DEV,rb,15.0,18.0,5347190000000.0,Finished,Miami Grand Prix,0.0
538,PIA,mclaren,19.0,19.0,5367700000000.0,Lapped,Miami Grand Prix,0.0
539,SAR,williams,20.0,20.0,5381578000000.0,Lapped,Miami Grand Prix,0.0
540,VER,red_bull,1.0,1.0,6531980000000.0,Finished,Monaco Grand Prix,0.1477272727272727
541,ALO,aston_martin,2.0,2.0,6559901000000.0,Finished,Monaco Grand Prix,0.1477272727272727
542,OCO,alpine,3.0,3.0,6568970000000.0,Finished,Monaco Grand Prix,0.1477272727272727
543,HAM,mercedes,5.0,4.0,6571042000000.0,Finished,Monaco Grand Prix,0.1477272727272727
544,RUS,mercedes,8.0,5.0,6588264000000.0,Finished,Monaco Grand Prix,0.1477272727272727
545,LEC,ferrari,6.0,6.0,6593870000000.0,Finished,Monaco Grand Prix,0.1477272727272727
546,GAS,alpine,7.0,7.0,6594342000000.0,Finished,Monaco Grand Prix,0.1477272727272727
547,SAI,ferrari,4.0,8.0,6595371000000.0,Finished,Monaco Grand Prix,0.1477272727272727
548,NOR,mclaren,10.0,9.0,6599432000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
549,PIA,mclaren,11.0,10.0,6609330000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
550,BOT,sauber,15.0,11.0,6624334000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
551,DEV,rb,12.0,12.0,6652688000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
552,ZHO,sauber,19.0,13.0,6667223000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
553,ALB,williams,13.0,14.0,6674581000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
554,TSU,rb,9.0,15.0,6682126000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
555,PER,red_bull,20.0,16.0,6723605000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
556,HUL,haas,18.0,17.0,6733087000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
557,SAR,williams,16.0,18.0,6752564000000.0,Lapped,Monaco Grand Prix,0.1477272727272727
558,MAG,haas,17.0,19.0,,Finished,Monaco Grand Prix,0.1477272727272727
559,STR,aston_martin,14.0,20.0,,Retired,Monaco Grand Prix,0.1477272727272727
560,VER,red_bull,1.0,1.0,5277940000000.0,Finished,Spanish Grand Prix,0.0
561,HAM,mercedes,4.0,2.0,5302030000000.0,Finished,Spanish Grand Prix,0.0
562,RUS,mercedes,12.0,3.0,5310329000000.0,Finished,Spanish Grand Prix,0.0
563,PER,red_bull,11.0,4.0,5313752000000.0,Finished,Spanish Grand Prix,0.0
564,SAI,ferrari,2.0,5.0,5323638000000.0,Finished,Spanish Grand Prix,0.0
565,STR,aston_martin,5.0,6.0,5341260000000.0,Finished,Spanish Grand Prix,0.0
566,ALO,aston_martin,8.0,7.0,5342067000000.0,Finished,Spanish Grand Prix,0.0
567,OCO,alpine,6.0,8.0,5347182000000.0,Finished,Spanish Grand Prix,0.0
568,ZHO,sauber,13.0,9.0,5349818000000.0,Finished,Spanish Grand Prix,0.0
569,GAS,alpine,10.0,10.0,5351470000000.0,Finished,Spanish Grand Prix,0.0
570,LEC,ferrari,19.0,11.0,5352359000000.0,Finished,Spanish Grand Prix,0.0
571,TSU,rb,15.0,12.0,5353356000000.0,Finished,Spanish Grand Prix,0.0
572,PIA,mclaren,9.0,13.0,5357631000000.0,Lapped,Spanish Grand Prix,0.0
573,DEV,rb,14.0,14.0,5358683000000.0,Lapped,Spanish Grand Prix,0.0
574,HUL,haas,7.0,15.0,5370653000000.0,Lapped,Spanish Grand Prix,0.0
575,ALB,williams,18.0,16.0,5381064000000.0,Lapped,Spanish Grand Prix,0.0
576,NOR,mclaren,3.0,17.0,5383746000000.0,Lapped,Spanish Grand Prix,0.0
577,MAG,haas,17.0,18.0,5391436000000.0,Lapped,Spanish Grand Prix,0.0
578,BOT,sauber,16.0,19.0,5403299000000.0,Lapped,Spanish Grand Prix,0.0
579,SAR,williams,20.0,20.0,5405033000000.0,Lapped,Spanish Grand Prix,0.0
580,VER,red_bull,1.0,1.0,5638348000000.0,Finished,Canadian Grand Prix,0.0
581,ALO,aston_martin,2.0,2.0,5647918000000.0,Finished,Canadian Grand Prix,0.0
582,HAM,mercedes,3.0,3.0,5652516000000.0,Finished,Canadian Grand Prix,0.0
583,LEC,ferrari,10.0,4.0,5656996000000.0,Finished,Canadian Grand Prix,0.0
584,SAI,ferrari,11.0,5.0,5659888000000.0,Finished,Canadian Grand Prix,0.0
585,PER,red_bull,12.0,6.0,5689376000000.0,Finished,Canadian Grand Prix,0.0
586,ALB,williams,9.0,7.0,5699161000000.0,Finished,Canadian Grand Prix,0.0
587,OCO,alpine,6.0,8.0,5700040000000.0,Finished,Canadian Grand Prix,0.0
588,STR,aston_martin,16.0,9.0,5702750000000.0,Finished,Canadian Grand Prix,0.0
589,BOT,sauber,14.0,10.0,5702780000000.0,Finished,Canadian Grand Prix,0.0
590,PIA,mclaren,8.0,11.0,5703449000000.0,Finished,Canadian Grand Prix,0.0
591,GAS,alpine,15.0,12.0,5703597000000.0,Finished,Canadian Grand Prix,0.0
592,NOR,mclaren,7.0,13.0,5706711000000.0,Finished,Canadian Grand Prix,0.0
593,TSU,rb,19.0,14.0,5711771000000.0,Finished,Canadian Grand Prix,0.0
594,HUL,haas,5.0,15.0,5728714000000.0,Lapped,Canadian Grand Prix,0.0
595,ZHO,sauber,20.0,16.0,5729148000000.0,Lapped,Canadian Grand Prix,0.0
596,MAG,haas,13.0,17.0,5782030000000.0,Lapped,Canadian Grand Prix,0.0
597,DEV,rb,17.0,18.0,5786738000000.0,Lapped,Canadian Grand Prix,0.0
598,RUS,mercedes,4.0,19.0,,Retired,Canadian Grand Prix,0.0
599,SAR,williams,18.0,20.0,,Retired,Canadian Grand Prix,0.0
600,VER,red_bull,1.0,1.0,5133607000000.0,Finished,Austrian Grand Prix,0.0196078431372549
601,LEC,ferrari,2.0,2.0,5138762000000.0,Finished,Austrian Grand Prix,0.0196078431372549
602,PER,red_bull,15.0,3.0,5150795000000.0,Finished,Austrian Grand Prix,0.0196078431372549
603,NOR,mclaren,4.0,4.0,5159934000000.0,Finished,Austrian Grand Prix,0.0196078431372549
604,ALO,aston_martin,7.0,5.0,5163924000000.0,Finished,Austrian Grand Prix,0.0196078431372549
605,SAI,ferrari,3.0,6.0,5164984000000.0,Finished,Austrian Grand Prix,0.0196078431372549
606,RUS,mercedes,11.0,7.0,5182010000000.0,Finished,Austrian Grand Prix,0.0196078431372549
607,HAM,mercedes,5.0,8.0,5182803000000.0,Finished,Austrian Grand Prix,0.0196078431372549
608,STR,aston_martin,6.0,9.0,5192650000000.0,Finished,Austrian Grand Prix,0.0196078431372549
609,GAS,alpine,9.0,10.0,5201274000000.0,Finished,Austrian Grand Prix,0.0196078431372549
610,ALB,williams,10.0,11.0,5213374000000.0,Finished,Austrian Grand Prix,0.0196078431372549
611,ZHO,sauber,17.0,12.0,5238007000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
612,SAR,williams,18.0,13.0,5244758000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
613,OCO,alpine,12.0,14.0,5255514000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
614,BOT,sauber,14.0,15.0,5256151000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
615,PIA,mclaren,13.0,16.0,5259943000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
616,DEV,rb,20.0,17.0,5263077000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
617,MAG,haas,19.0,18.0,5270027000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
618,TSU,rb,16.0,19.0,5273247000000.0,Lapped,Austrian Grand Prix,0.0196078431372549
619,HUL,haas,8.0,20.0,,Retired,Austrian Grand Prix,0.0196078431372549
620,VER,red_bull,1.0,1.0,5116938000000.0,Finished,British Grand Prix,0.0
621,NOR,mclaren,2.0,2.0,5120736000000.0,Finished,British Grand Prix,0.0
622,HAM,mercedes,7.0,3.0,5123721000000.0,Finished,British Grand Prix,0.0
623,PIA,mclaren,3.0,4.0,5124714000000.0,Finished,British Grand Prix,0.0
624,RUS,mercedes,6.0,5.0,5128144000000.0,Finished,British Grand Prix,0.0
625,PER,red_bull,15.0,6.0,5129820000000.0,Finished,British Grand Prix,0.0
626,ALO,aston_martin,9.0,7.0,5134131000000.0,Finished,British Grand Prix,0.0
627,ALB,williams,8.0,8.0,5134816000000.0,Finished,British Grand Prix,0.0
628,LEC,ferrari,4.0,9.0,5135627000000.0,Finished,British Grand Prix,0.0
629,SAI,ferrari,5.0,10.0,5136386000000.0,Finished,British Grand Prix,0.0
630,SAR,williams,14.0,11.0,5140570000000.0,Finished,British Grand Prix,0.0
631,BOT,sauber,20.0,12.0,5142768000000.0,Finished,British Grand Prix,0.0
632,HUL,haas,11.0,13.0,5143601000000.0,Finished,British Grand Prix,0.0
633,STR,aston_martin,12.0,14.0,5144421000000.0,Finished,British Grand Prix,0.0
634,ZHO,sauber,17.0,15.0,5146758000000.0,Finished,British Grand Prix,0.0
635,TSU,rb,16.0,16.0,5148163000000.0,Finished,British Grand Prix,0.0
636,DEV,rb,18.0,17.0,5150066000000.0,Finished,British Grand Prix,0.0
637,GAS,alpine,10.0,18.0,,Finished,British Grand Prix,0.0
638,MAG,haas,19.0,19.0,,Retired,British Grand Prix,0.0
639,OCO,alpine,13.0,20.0,,Retired,British Grand Prix,0.0
640,VER,red_bull,2.0,1.0,5888634000000.0,Finished,Hungarian Grand Prix,0.0
641,NOR,mclaren,3.0,2.0,5922365000000.0,Finished,Hungarian Grand Prix,0.0
642,PER,red_bull,9.0,3.0,5926237000000.0,Finished,Hungarian Grand Prix,0.0
643,HAM,mercedes,1.0,4.0,5927768000000.0,Finished,Hungarian Grand Prix,0.0
644,PIA,mclaren,4.0,5.0,5951206000000.0,Finished,Hungarian Grand Prix,0.0
645,RUS,mercedes,18.0,6.0,5954459000000.0,Finished,Hungarian Grand Prix,0.0
646,LEC,ferrari,6.0,7.0,5958951000000.0,Finished,Hungarian Grand Prix,0.0
647,SAI,ferrari,11.0,8.0,5959707000000.0,Finished,Hungarian Grand Prix,0.0
648,ALO,aston_martin,8.0,9.0,5964343000000.0,Finished,Hungarian Grand Prix,0.0
649,STR,aston_martin,14.0,10.0,5978958000000.0,Lapped,Hungarian Grand Prix,0.0
650,ALB,williams,16.0,11.0,5993430000000.0,Lapped,Hungarian Grand Prix,0.0
651,BOT,sauber,7.0,12.0,5994422000000.0,Lapped,Hungarian Grand Prix,0.0
652,RIC,rb,13.0,13.0,6000600000000.0,Lapped,Hungarian Grand Prix,0.0
653,HUL,haas,10.0,14.0,6015641000000.0,Lapped,Hungarian Grand Prix,0.0
654,TSU,rb,17.0,15.0,6015886000000.0,Lapped,Hungarian Grand Prix,0.0
655,ZHO,sauber,5.0,16.0,6024834000000.0,Lapped,Hungarian Grand Prix,0.0
656,MAG,haas,19.0,17.0,6046694000000.0,Lapped,Hungarian Grand Prix,0.0
657,SAR,williams,20.0,18.0,,Finished,Hungarian Grand Prix,0.0
658,OCO,alpine,12.0,19.0,,Retired,Hungarian Grand Prix,0.0
659,GAS,alpine,15.0,20.0,,Retired,Hungarian Grand Prix,0.0
660,VER,red_bull,6.0,1.0,4950450000000.0,Finished,Belgian Grand Prix,0.0733333333333333
661,PER,red_bull,2.0,2.0,4972755000000.0,Finished,Belgian Grand Prix,0.0733333333333333
662,LEC,ferrari,1.0,3.0,4982709000000.0,Finished,Belgian Grand Prix,0.0733333333333333
663,HAM,mercedes,3.0,4.0,5000121000000.0,Finished,Belgian Grand Prix,0.0733333333333333
664,ALO,aston_martin,9.0,5.0,5006634000000.0,Finished,Belgian Grand Prix,0.0733333333333333
665,RUS,mercedes,8.0,6.0,5013551000000.0,Finished,Belgian Grand Prix,0.0733333333333333
666,NOR,mclaren,7.0,7.0,5024169000000.0,Finished,Belgian Grand Prix,0.0733333333333333
667,OCO,alpine,14.0,8.0,5025169000000.0,Finished,Belgian Grand Prix,0.0733333333333333
668,STR,aston_martin,10.0,9.0,5029790000000.0,Finished,Belgian Grand Prix,0.0733333333333333
669,TSU,rb,11.0,10.0,5030671000000.0,Finished,Belgian Grand Prix,0.0733333333333333
670,GAS,alpine,12.0,11.0,5033534000000.0,Finished,Belgian Grand Prix,0.0733333333333333
671,BOT,sauber,13.0,12.0,5035641000000.0,Finished,Belgian Grand Prix,0.0733333333333333
672,ZHO,sauber,17.0,13.0,5045891000000.0,Finished,Belgian Grand Prix,0.0733333333333333
673,ALB,williams,15.0,14.0,5046634000000.0,Finished,Belgian Grand Prix,0.0733333333333333
674,MAG,haas,16.0,15.0,5052204000000.0,Finished,Belgian Grand Prix,0.0733333333333333
675,RIC,rb,19.0,16.0,5053521000000.0,Finished,Belgian Grand Prix,0.0733333333333333
676,SAR,williams,18.0,17.0,5054926000000.0,Finished,Belgian Grand Prix,0.0733333333333333
677,HUL,haas,20.0,18.0,5060900000000.0,Finished,Belgian Grand Prix,0.0733333333333333
678,SAI,ferrari,4.0,19.0,,Retired,Belgian Grand Prix,0.0733333333333333
679,PIA,mclaren,5.0,20.0,,Retired,Belgian Grand Prix,0.0733333333333333
680,VER,red_bull,1.0,1.0,8644411000000.0,Finished,Dutch Grand Prix,0.2296650717703349
681,ALO,aston_martin,5.0,2.0,8648155000000.0,Finished,Dutch Grand Prix,0.2296650717703349
682,GAS,alpine,12.0,3.0,8651469000000.0,Finished,Dutch Grand Prix,0.2296650717703349
683,PER,red_bull,7.0,4.0,8654479000000.0,Finished,Dutch Grand Prix,0.2296650717703349
684,SAI,ferrari,6.0,5.0,8656952000000.0,Finished,Dutch Grand Prix,0.2296650717703349
685,HAM,mercedes,13.0,6.0,8657620000000.0,Finished,Dutch Grand Prix,0.2296650717703349
686,NOR,mclaren,2.0,7.0,8657643000000.0,Finished,Dutch Grand Prix,0.2296650717703349
687,ALB,williams,4.0,8.0,8659566000000.0,Finished,Dutch Grand Prix,0.2296650717703349
688,PIA,mclaren,8.0,9.0,8660991000000.0,Finished,Dutch Grand Prix,0.2296650717703349
689,OCO,alpine,16.0,10.0,8662757000000.0,Finished,Dutch Grand Prix,0.2296650717703349
690,STR,aston_martin,11.0,11.0,8664498000000.0,Finished,Dutch Grand Prix,0.2296650717703349
691,HUL,haas,14.0,12.0,8665251000000.0,Finished,Dutch Grand Prix,0.2296650717703349
692,LAW,rb,19.0,13.0,8670558000000.0,Finished,Dutch Grand Prix,0.2296650717703349
693,BOT,sauber,18.0,14.0,8671799000000.0,Finished,Dutch Grand Prix,0.2296650717703349
694,TSU,rb,17.0,15.0,8674304000000.0,Finished,Dutch Grand Prix,0.2296650717703349
695,MAG,haas,0.0,16.0,8675821000000.0,Finished,Dutch Grand Prix,0.2296650717703349
696,RUS,mercedes,3.0,17.0,8700165000000.0,Finished,Dutch Grand Prix,0.2296650717703349
697,ZHO,sauber,15.0,18.0,,Accident,Dutch Grand Prix,0.2296650717703349
698,LEC,ferrari,9.0,19.0,,Undertray,Dutch Grand Prix,0.2296650717703349
699,SAR,williams,10.0,20.0,,Accident,Dutch Grand Prix,0.2296650717703349
700,VER,red_bull,2.0,1.0,4421143000000.0,Finished,Italian Grand Prix,0.0
701,PER,red_bull,5.0,2.0,4427207000000.0,Finished,Italian Grand Prix,0.0
702,SAI,ferrari,1.0,3.0,4432336000000.0,Finished,Italian Grand Prix,0.0
703,LEC,ferrari,3.0,4.0,4432520000000.0,Finished,Italian Grand Prix,0.0
704,RUS,mercedes,4.0,5.0,4444171000000.0,Finished,Italian Grand Prix,0.0
705,HAM,mercedes,8.0,6.0,4463822000000.0,Finished,Italian Grand Prix,0.0
706,ALB,williams,6.0,7.0,4466249000000.0,Finished,Italian Grand Prix,0.0
707,NOR,mclaren,9.0,8.0,4466592000000.0,Finished,Italian Grand Prix,0.0
708,ALO,aston_martin,10.0,9.0,4467437000000.0,Finished,Italian Grand Prix,0.0
709,BOT,sauber,14.0,10.0,4485199000000.0,Finished,Italian Grand Prix,0.0
710,LAW,rb,12.0,11.0,4491781000000.0,Finished,Italian Grand Prix,0.0
711,PIA,mclaren,7.0,12.0,4494217000000.0,Finished,Italian Grand Prix,0.0
712,SAR,williams,15.0,13.0,4499700000000.0,Finished,Italian Grand Prix,0.0
713,ZHO,sauber,16.0,14.0,4501307000000.0,Finished,Italian Grand Prix,0.0
714,GAS,alpine,17.0,15.0,4503653000000.0,Finished,Italian Grand Prix,0.0
715,STR,aston_martin,20.0,16.0,4508409000000.0,Finished,Italian Grand Prix,0.0
716,HUL,haas,13.0,17.0,4510502000000.0,Lapped,Italian Grand Prix,0.0
717,MAG,haas,19.0,18.0,4521033000000.0,Lapped,Italian Grand Prix,0.0
718,OCO,alpine,18.0,19.0,,Retired,Italian Grand Prix,0.0
719,TSU,rb,11.0,20.0,,Did not start,Italian Grand Prix,0.0
720,SAI,ferrari,1.0,1.0,6397418000000.0,Finished,Singapore Grand Prix,0.0
721,NOR,mclaren,4.0,2.0,6398230000000.0,Finished,Singapore Grand Prix,0.0
722,HAM,mercedes,5.0,3.0,6398687000000.0,Finished,Singapore Grand Prix,0.0
723,LEC,ferrari,3.0,4.0,6418595000000.0,Finished,Singapore Grand Prix,0.0
724,VER,red_bull,11.0,5.0,6418859000000.0,Finished,Singapore Grand Prix,0.0
725,GAS,alpine,12.0,6.0,6435859000000.0,Finished,Singapore Grand Prix,0.0
726,PIA,mclaren,17.0,7.0,6438897000000.0,Finished,Singapore Grand Prix,0.0
727,PER,red_bull,13.0,8.0,6456952000000.0,Finished,Singapore Grand Prix,0.0
728,LAW,rb,10.0,9.0,6463336000000.0,Finished,Singapore Grand Prix,0.0
729,MAG,haas,6.0,10.0,6469534000000.0,Finished,Singapore Grand Prix,0.0
730,ALB,williams,14.0,11.0,6470835000000.0,Finished,Singapore Grand Prix,0.0
731,ZHO,sauber,19.0,12.0,6481067000000.0,Finished,Singapore Grand Prix,0.0
732,HUL,haas,9.0,13.0,6483619000000.0,Finished,Singapore Grand Prix,0.0
733,SAR,williams,18.0,14.0,6484307000000.0,Finished,Singapore Grand Prix,0.0
734,ALO,aston_martin,7.0,15.0,6485021000000.0,Finished,Singapore Grand Prix,0.0
735,RUS,mercedes,2.0,16.0,,Finished,Singapore Grand Prix,0.0
736,BOT,sauber,16.0,17.0,,Retired,Singapore Grand Prix,0.0
737,OCO,alpine,8.0,18.0,,Retired,Singapore Grand Prix,0.0
738,TSU,rb,15.0,19.0,,Retired,Singapore Grand Prix,0.0
739,STR,aston_martin,,,,Withdrew,Singapore Grand Prix,0.0
740,VER,red_bull,1.0,1.0,5458421000000.0,Finished,Japanese Grand Prix,0.0
741,NOR,mclaren,3.0,2.0,5477808000000.0,Finished,Japanese Grand Prix,0.0
742,PIA,mclaren,2.0,3.0,5494915000000.0,Finished,Japanese Grand Prix,0.0
743,LEC,ferrari,4.0,4.0,5502419000000.0,Finished,Japanese Grand Prix,0.0
744,HAM,mercedes,7.0,5.0,5507797000000.0,Finished,Japanese Grand Prix,0.0
745,SAI,ferrari,6.0,6.0,5508642000000.0,Finished,Japanese Grand Prix,0.0
746,RUS,mercedes,8.0,7.0,5516080000000.0,Finished,Japanese Grand Prix,0.0
747,ALO,aston_martin,10.0,8.0,5533146000000.0,Finished,Japanese Grand Prix,0.0
748,OCO,alpine,14.0,9.0,5538099000000.0,Finished,Japanese Grand Prix,0.0
749,GAS,alpine,12.0,10.0,5541576000000.0,Finished,Japanese Grand Prix,0.0
750,LAW,rb,11.0,11.0,5544665000000.0,Lapped,Japanese Grand Prix,0.0
751,TSU,rb,9.0,12.0,5545550000000.0,Lapped,Japanese Grand Prix,0.0
752,ZHO,sauber,19.0,13.0,5547916000000.0,Lapped,Japanese Grand Prix,0.0
753,HUL,haas,18.0,14.0,5551174000000.0,Lapped,Japanese Grand Prix,0.0
754,MAG,haas,15.0,15.0,5571146000000.0,Lapped,Japanese Grand Prix,0.0
755,ALB,williams,13.0,16.0,,Retired,Japanese Grand Prix,0.0
756,SAR,williams,20.0,17.0,,Retired,Japanese Grand Prix,0.0
757,STR,aston_martin,17.0,18.0,,Retired,Japanese Grand Prix,0.0
758,PER,red_bull,5.0,19.0,,Retired,Japanese Grand Prix,0.0
759,BOT,sauber,16.0,20.0,,Retired,Japanese Grand Prix,0.0
760,VER,red_bull,1.0,1.0,5259168000000.0,Finished,Qatar Grand Prix,0.0
761,PIA,mclaren,6.0,2.0,5264001000000.0,Finished,Qatar Grand Prix,0.0
762,NOR,mclaren,10.0,3.0,5265137000000.0,Finished,Qatar Grand Prix,0.0
763,RUS,mercedes,2.0,4.0,5293287000000.0,Finished,Qatar Grand Prix,0.0
764,LEC,ferrari,5.0,5.0,5298144000000.0,Finished,Qatar Grand Prix,0.0
765,ALO,aston_martin,4.0,6.0,5308200000000.0,Finished,Qatar Grand Prix,0.0
766,OCO,alpine,8.0,7.0,5321558000000.0,Finished,Qatar Grand Prix,0.0
767,BOT,sauber,9.0,8.0,5325731000000.0,Finished,Qatar Grand Prix,0.0
768,ZHO,sauber,19.0,9.0,5335295000000.0,Finished,Qatar Grand Prix,0.0
769,PER,red_bull,20.0,10.0,5339349000000.0,Finished,Qatar Grand Prix,0.0
770,STR,aston_martin,16.0,11.0,5340820000000.0,Finished,Qatar Grand Prix,0.0
771,GAS,alpine,7.0,12.0,5341468000000.0,Finished,Qatar Grand Prix,0.0
772,ALB,williams,13.0,13.0,5350182000000.0,Finished,Qatar Grand Prix,0.0
773,MAG,haas,18.0,14.0,5351428000000.0,Lapped,Qatar Grand Prix,0.0
774,TSU,rb,11.0,15.0,5359140000000.0,Lapped,Qatar Grand Prix,0.0
775,HUL,haas,14.0,16.0,5365267000000.0,Lapped,Qatar Grand Prix,0.0
776,LAW,rb,17.0,17.0,5377290000000.0,Lapped,Qatar Grand Prix,0.0
777,SAR,williams,15.0,18.0,,Retired,Qatar Grand Prix,0.0
778,HAM,mercedes,3.0,19.0,,Retired,Qatar Grand Prix,0.0
779,SAI,ferrari,12.0,20.0,,Did not start,Qatar Grand Prix,0.0
780,VER,red_bull,6.0,1.0,5721362000000.0,Finished,United States Grand Prix,0.0
781,NOR,mclaren,2.0,2.0,5732092000000.0,Finished,United States Grand Prix,0.0
782,SAI,ferrari,4.0,3.0,5736496000000.0,Finished,United States Grand Prix,0.0
783,PER,red_bull,9.0,4.0,5739822000000.0,Finished,United States Grand Prix,0.0
784,RUS,mercedes,5.0,5.0,5746361000000.0,Finished,United States Grand Prix,0.0
785,GAS,alpine,7.0,6.0,5769358000000.0,Finished,United States Grand Prix,0.0
786,STR,aston_martin,20.0,7.0,5770058000000.0,Finished,United States Grand Prix,0.0
787,TSU,rb,11.0,8.0,5795747000000.0,Finished,United States Grand Prix,0.0
788,ALB,williams,15.0,9.0,5808076000000.0,Finished,United States Grand Prix,0.0
789,SAR,williams,16.0,10.0,5809360000000.0,Finished,United States Grand Prix,0.0
790,HUL,haas,18.0,11.0,5811266000000.0,Finished,United States Grand Prix,0.0
791,BOT,sauber,13.0,12.0,5819963000000.0,Finished,United States Grand Prix,0.0
792,ZHO,sauber,12.0,13.0,5823539000000.0,Lapped,United States Grand Prix,0.0
793,MAG,haas,17.0,14.0,5828035000000.0,Lapped,United States Grand Prix,0.0
794,RIC,rb,14.0,15.0,5828815000000.0,Lapped,United States Grand Prix,0.0
795,ALO,aston_martin,19.0,16.0,,Retired,United States Grand Prix,0.0
796,PIA,mclaren,10.0,17.0,,Retired,United States Grand Prix,0.0
797,OCO,alpine,8.0,18.0,,Retired,United States Grand Prix,0.0
798,HAM,mercedes,3.0,19.0,5822188000000.0,Disqualified,United States Grand Prix,0.0
799,LEC,ferrari,1.0,20.0,5844625000000.0,Disqualified,United States Grand Prix,0.0
800,VER,red_bull,3.0,1.0,7350814000000.0,Finished,Mexico City Grand Prix,0.0
801,HAM,mercedes,6.0,2.0,7364689000000.0,Finished,Mexico City Grand Prix,0.0
802,LEC,ferrari,1.0,3.0,7373938000000.0,Finished,Mexico City Grand Prix,0.0
803,SAI,ferrari,2.0,4.0,7377968000000.0,Finished,Mexico City Grand Prix,0.0
804,NOR,mclaren,17.0,5.0,7384080000000.0,Finished,Mexico City Grand Prix,0.0
805,RUS,mercedes,8.0,6.0,7391834000000.0,Finished,Mexico City Grand Prix,0.0
806,RIC,rb,4.0,7.0,7392384000000.0,Finished,Mexico City Grand Prix,0.0
807,PIA,mclaren,7.0,8.0,7393918000000.0,Finished,Mexico City Grand Prix,0.0
808,ALB,williams,14.0,9.0,7399387000000.0,Finished,Mexico City Grand Prix,0.0
809,OCO,alpine,15.0,10.0,7413693000000.0,Finished,Mexico City Grand Prix,0.0
810,GAS,alpine,11.0,11.0,7417022000000.0,Finished,Mexico City Grand Prix,0.0
811,TSU,rb,18.0,12.0,7429796000000.0,Finished,Mexico City Grand Prix,0.0
812,HUL,haas,12.0,13.0,7431123000000.0,Finished,Mexico City Grand Prix,0.0
813,ZHO,sauber,10.0,14.0,7432490000000.0,Finished,Mexico City Grand Prix,0.0
814,BOT,sauber,9.0,15.0,7436411000000.0,Finished,Mexico City Grand Prix,0.0
815,SAR,williams,19.0,16.0,,Retired,Mexico City Grand Prix,0.0
816,STR,aston_martin,0.0,17.0,,Collision damage,Mexico City Grand Prix,0.0
817,ALO,aston_martin,13.0,18.0,,Withdrew,Mexico City Grand Prix,0.0
818,MAG,haas,16.0,19.0,,Accident,Mexico City Grand Prix,0.0
819,PER,red_bull,5.0,20.0,,Collision damage,Mexico City Grand Prix,0.0
820,VER,red_bull,1.0,1.0,7008894000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
821,NOR,mclaren,6.0,2.0,7017171000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
822,ALO,aston_martin,4.0,3.0,7043049000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
823,PER,red_bull,9.0,4.0,7043102000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
824,STR,aston_martin,3.0,5.0,7049739000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
825,SAI,ferrari,7.0,6.0,7059082000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
826,GAS,alpine,15.0,7.0,7064987000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
827,HAM,mercedes,5.0,8.0,7071753000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
828,TSU,rb,16.0,9.0,7078774000000.0,Finished,São Paulo Grand Prix,0.0054644808743169
829,OCO,alpine,14.0,10.0,7088615000000.0,Lapped,São Paulo Grand Prix,0.0054644808743169
830,SAR,williams,19.0,11.0,7104982000000.0,Lapped,São Paulo Grand Prix,0.0054644808743169
831,HUL,haas,11.0,12.0,7108734000000.0,Lapped,São Paulo Grand Prix,0.0054644808743169
832,RIC,rb,17.0,13.0,7148735000000.0,Lapped,São Paulo Grand Prix,0.0054644808743169
833,PIA,mclaren,10.0,14.0,7152371000000.0,Lapped,São Paulo Grand Prix,0.0054644808743169
